sampleid	biosample	bioproject	reads	primer_group	genus	species	common_name	old_new_world	pathogen	diet_org	diet_assumed	diet_1	diet_2	diet_group	diet_cat	sex	reprod_stage	total_sample_no	sample_type	collection_year	captive_wild	habitat_assumed	habitat_group	habitat_level_1	habitat_level_2	roost_group	sociality_x	foraging	collection_location	country	continent	virus	body_mass_g	litter_size	litters_peryear	longevity_month	sociality_y	torpor_use
SAMEA9989223	SAMEA9989223_ERR7141755	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989222	SAMEA9989222_ERR7141754	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989221	SAMEA9989221_ERR7141753	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989220	SAMEA9989220_ERR7141752	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989219	SAMEA9989219_ERR7141750	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989216	SAMEA9989216_ERR7142011	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	Daubenton's_bat	old_world	Alphacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989215	SAMEA9989215_ERR7141724	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	Daubenton's_bat	old_world	Alphacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989214	SAMEA9989214_ERR7141723	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	Daubenton's_bat	old_world	Alphacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989213	SAMEA9989213_ERR7141722	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	Daubenton's_bat	old_world	Alphacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989212	SAMEA9989212_ERR7141721	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989211	SAMEA9989211_ERR7141706	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989210	SAMEA9989210_ERR7141705	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989209	SAMEA9989209_ERR7141704	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
